id,fname,lname,phone,address
0,samuel,anderson,(043)321-8196,"620 main st, san diego, CA 91791"
1,donald,cook,(908)386-3794,"206 magnolia blvd, fresno, CA 95719"
2,rebecca,baker,(423)511-6155,"9991 lake dr, los angeles, CA 95977"
3,laura,morgan,(161)849-5931,"850 willow way, oakland, CA 92370"
4,william,robinson,(164)752-5534,"1269 birch dr, fresno, CA 94375"
5,jack,young,(276)483-5030,"5268 sunset blvd, bakersfield, CA 90542"
6,mark,reed,(537)672-4238,"8930 lake dr, glendale, CA 93509"
7,pamela,phillips,(532)871-0122,"7016 birch dr, san diego, CA 93152"
8,melissa,kim,(784)801-8451,"4908 highland ave, fresno, CA 93716"
9,james,castillo,(482)814-8932,"6226 magnolia blvd, fresno, CA 94418"
10,jonathan,smith,(957)015-4303,"9395 elm st, san diego, CA 95995"
11,kathleen,rodriguez,(822)782-4896,"3570 cherry ln, long beach, CA 95840"
12,kenneth,phillips,(578)713-3150,"9738 cherry ln, oakland, CA 94820"
13,margaret,smith,(103)105-1834,"8053 washington blvd, modesto, CA 91083"
14,carolyn,kelly,(973)763-1165,"7039 highland ave, fremont, CA 95972"
15,michael,gray,(106)513-3387,"2396 highland ave, fresno, CA 92281"
16,jacob,young,(178)108-0132,"6758 spring st, moreno valley, CA 91751"
17,edward,davis,(260)647-4687,"2636 washington blvd, anaheim, CA 91783"
18,linda,howard,(805)009-7882,"1031 meadow ln, san diego, CA 91522"
19,david,kim,(136)193-9909,"1443 highland ave, glendale, CA 94630"
20,angela,green,(435)346-2475,"1288 main st, fremont, CA 95088"
21,brenda,gonzalez,(183)842-5135,"4769 pine rd, fremont, CA 94450"
22,rachel,hill,(980)841-2411,"9164 cedar ln, bakersfield, CA 92308"
23,brandon,clark,(534)874-0164,"822 main st, santa ana, CA 91071"
24,samuel,king,(278)680-1128,"690 river rd, glendale, CA 94526"
25,charles,parker,(204)505-3315,"9273 highland ave, huntington beach, CA 91266"
26,sandra,lee,(260)256-3421,"6367 oak ave, moreno valley, CA 91822"
27,anthony,collins,(543)303-6541,"4673 river rd, fontana, CA 93274"
28,christine,morgan,(501)429-4019,"7219 river rd, santa ana, CA 93574"
29,brandon,rogers,(169)340-6088,"3328 river rd, stockton, CA 90573"
30,gregory,nelson,(951)484-6564,"9183 cedar ln, long beach, CA 93444"
31,gregory,carter,(299)468-0443,"7143 walnut st, huntington beach, CA 95363"
32,kevin,reyes,(773)872-1489,"5591 elm st, oakland, CA 95511"
33,kenneth,lewis,(320)037-9176,"9531 washington blvd, chula vista, CA 94049"
34,edward,young,(201)632-8708,"4182 maple dr, fremont, CA 91092"
35,jacob,bennett,(889)579-8687,"2707 juniper rd, moreno valley, CA 93686"
36,paul,long,(348)734-7143,"4551 forest rd, santa ana, CA 94424"
37,william,moore,(236)231-6658,"7733 highland ave, los angeles, CA 91694"
38,jason,roberts,(909)670-5466,"8918 juniper rd, modesto, CA 94941"
39,margaret,morales,(346)706-5627,"2191 birch dr, modesto, CA 90220"
40,deborah,ramos,(901)627-2046,"5463 washington blvd, fremont, CA 92677"
41,brian,ross,(646)417-0805,"3773 poplar ave, san diego, CA 95339"
42,jennifer,long,(033)092-3271,"9340 washington blvd, fremont, CA 95730"
43,ashley,foster,(529)912-4190,"5211 walnut st, chula vista, CA 93249"
44,patrick,sanchez,(193)149-1905,"8828 highland ave, irvine, CA 90564"
45,amy,chavez,(506)716-5726,"2985 juniper rd, fontana, CA 95328"
46,dorothy,ward,(877)694-5314,"7485 park ave, fremont, CA 94668"
47,nicole,bennett,(650)752-7354,"5676 lake dr, huntington beach, CA 95744"
48,andrew,bailey,(083)136-7837,"8141 valley rd, riverside, CA 90762"
49,joshua,lewis,(634)957-8856,"9117 forest rd, irvine, CA 95757"
50,laura,wright,(443)135-1823,"3645 juniper rd, moreno valley, CA 92265"
51,carolyn,ramos,(894)134-3524,"331 aspen ct, modesto, CA 91036"
52,andrew,garcia,(084)271-0947,"7943 valley rd, santa ana, CA 91510"
53,michael,allen,(711)671-9022,"9321 hill st, san diego, CA 92033"
54,jessica,bailey,(699)938-6774,"9742 highland ave, anaheim, CA 94658"
55,benjamin,davis,(913)341-2328,"1329 pine rd, riverside, CA 93346"
56,ryan,ruiz,(974)034-4713,"4434 poplar ave, glendale, CA 95416"
57,anthony,diaz,(183)242-1024,"9849 juniper rd, glendale, CA 92364"
58,sharon,thomas,(746)488-7719,"753 highland ave, santa ana, CA 94945"
59,ashley,brown,(139)904-9027,"8602 poplar ave, fremont, CA 92278"
60,matthew,howard,(671)756-5512,"5503 highland ave, moreno valley, CA 92361"
61,katherine,phillips,(807)154-5168,"118 willow way, modesto, CA 93784"
62,stephanie,miller,(385)977-0348,"2246 hill st, fremont, CA 95720"
63,kathleen,thomas,(093)248-0861,"3781 maple dr, fremont, CA 90962"
64,samantha,martin,(748)467-7378,"2469 sunset blvd, long beach, CA 94910"
65,eric,myers,(214)658-4044,"9716 walnut st, moreno valley, CA 91217"
66,ryan,morgan,(755)886-7533,"9468 sunset blvd, oakland, CA 93365"
67,jennifer,green,(766)270-2895,"1744 valley rd, san francisco, CA 94308"
68,laura,johnson,(262)174-5961,"5483 willow way, modesto, CA 93113"
69,donna,watson,(780)913-4316,"1712 magnolia blvd, san francisco, CA 93634"
70,daniel,ruiz,(400)504-5562,"4100 meadow ln, stockton, CA 94636"
71,frank,white,(221)969-3792,"3904 valley rd, bakersfield, CA 93764"
72,ashley,bennett,(074)821-7594,"7051 aspen ct, bakersfield, CA 93742"
73,emily,sanchez,(671)369-5944,"459 willow way, chula vista, CA 92248"
74,mary,reed,(097)439-5339,"4206 willow way, sacramento, CA 95146"
75,richard,watson,(047)095-2145,"6907 pine rd, long beach, CA 91082"
76,stephen,campbell,(884)247-4517,"1333 cedar ln, oakland, CA 95540"
77,carolyn,gray,(685)160-4817,"6138 willow way, bakersfield, CA 94788"
78,melissa,brooks,(513)709-8593,"1135 poplar ave, fremont, CA 95743"
79,emily,wood,(612)004-7113,"8907 cedar ln, chula vista, CA 93716"
80,timothy,bennett,(869)261-7964,"636 aspen ct, irvine, CA 91779"
81,sharon,cruz,(351)585-0643,"2101 valley rd, san diego, CA 95429"
82,mark,chavez,(900)532-9318,"3494 walnut st, long beach, CA 91908"
83,michelle,jimenez,(290)422-8421,"522 cedar ln, riverside, CA 92934"
84,sandra,ramos,(502)402-6811,"7902 valley rd, irvine, CA 94204"
85,scott,wilson,(783)908-4700,"7947 sunset blvd, stockton, CA 95620"
86,susan,morales,(711)592-1249,"9690 cherry ln, santa ana, CA 93120"
87,emma,ortiz,(478)961-1836,"7498 park ave, stockton, CA 92776"
88,laura,phillips,(615)654-5271,"1594 elm st, san diego, CA 93537"
89,richard,myers,(528)098-8516,"5893 willow way, stockton, CA 95906"
