id,fname,lname,experience,specialty
0,daniel,long,34,engine repair
1,carolyn,gonzalez,13,general maintenance
2,amy,price,30,exhaust systems
3,alexander,ramos,11,oil change
4,christine,wilson,11,cooling systems
5,george,carter,27,electrical systems
6,eric,robinson,26,transmission
7,jerry,green,7,oil change
8,joseph,gutierrez,8,oil change
9,jerry,campbell,18,tire service
10,carolyn,garcia,5,exhaust systems
11,nicholas,anderson,24,suspension
12,laura,kim,19,diagnostics
13,sharon,lewis,35,air conditioning
14,joshua,diaz,12,cooling systems
15,david,stewart,23,brakes
16,mary,gray,31,diagnostics
17,susan,gomez,28,tire service
18,katherine,gray,5,transmission
19,charles,gomez,25,fuel systems
20,scott,wilson,10,transmission
21,amanda,sanchez,21,electrical systems
22,emma,phillips,7,electrical systems
23,rebecca,castillo,31,suspension
24,jerry,alvarez,37,body work
25,dorothy,long,25,exhaust systems
26,cynthia,bennett,38,air conditioning
27,kathleen,rogers,17,brakes
28,maria,collins,6,transmission
29,ashley,morales,31,electrical systems
30,helen,moore,1,transmission
31,janet,miller,4,oil change
32,christine,brown,11,air conditioning
33,brandon,gray,20,brakes
34,emily,richardson,39,transmission
35,jerry,martinez,33,steering
36,nicholas,reyes,12,suspension
37,katherine,murphy,31,tire service
38,paul,cooper,21,steering
39,stephen,cooper,1,steering
40,robert,parker,7,air conditioning
41,ryan,green,24,oil change
42,laura,jones,2,brakes
43,larry,james,19,general maintenance
44,rachel,perez,31,air conditioning
45,sarah,flores,24,oil change
46,jerry,anderson,36,diagnostics
47,kathleen,james,35,diagnostics
48,stephen,kelly,30,oil change
49,larry,lee,32,engine repair
50,deborah,king,31,body work
51,melissa,ward,22,steering
52,kimberly,adams,3,engine repair
53,scott,garcia,8,cooling systems
54,amanda,hall,37,engine repair
55,jerry,watson,21,air conditioning
56,richard,diaz,22,exhaust systems
57,stephanie,hall,3,diagnostics
58,steven,young,15,diagnostics
59,kenneth,ramos,5,general maintenance
60,debra,rodriguez,19,transmission
61,brian,perez,1,tire service
62,kevin,jones,29,diagnostics
63,rebecca,reed,32,general maintenance
64,jason,wright,1,fuel systems
65,cynthia,ramos,1,exhaust systems
66,melissa,kelly,24,exhaust systems
67,justin,gonzalez,31,transmission
68,debra,gray,13,exhaust systems
69,nicholas,cook,21,brakes
70,nicole,hill,23,air conditioning
71,anthony,murphy,40,cooling systems
72,elizabeth,morgan,13,suspension
73,paul,miller,19,body work
74,edward,lewis,39,fuel systems
75,barbara,alvarez,37,transmission
76,scott,baker,17,transmission
77,brenda,ortiz,30,air conditioning
78,betty,hall,4,diagnostics
79,emily,cook,19,air conditioning
80,katherine,cooper,20,electrical systems
81,jason,phillips,16,body work
82,eric,collins,35,brakes
83,john,watson,33,cooling systems
84,matthew,kelly,31,electrical systems
85,katherine,myers,29,suspension
86,samuel,morgan,39,cooling systems
87,maria,parker,36,fuel systems
88,helen,davis,33,electrical systems
89,amanda,reyes,9,electrical systems
90,karen,myers,19,cooling systems
91,jeff,evans,20,cooling systems
92,david,brooks,13,cooling systems
93,stephanie,wright,18,diagnostics
94,chris,allen,38,electrical systems
95,edward,walker,7,brakes
96,nancy,brown,15,steering
97,kenneth,reyes,31,tire service
98,jeff,diaz,2,electrical systems
99,chris,wright,8,engine repair
100,paul,scott,35,brakes
101,samantha,garcia,31,steering
102,john,davis,5,exhaust systems
103,brandon,hill,4,general maintenance
104,stephanie,campbell,5,air conditioning
105,carolyn,moore,15,transmission
106,justin,patel,32,general maintenance
107,jessica,gutierrez,37,steering
108,jonathan,allen,31,general maintenance
109,barbara,walker,38,transmission
110,maria,green,21,cooling systems
111,pamela,patel,24,steering
112,dennis,myers,15,general maintenance
113,rebecca,ramirez,9,transmission
114,lisa,ramirez,17,oil change
115,stephanie,allen,37,engine repair
116,kathleen,morgan,23,fuel systems
117,joseph,green,34,air conditioning
118,cynthia,mendoza,15,suspension
119,charles,campbell,30,fuel systems
120,timothy,flores,1,diagnostics
121,brandon,jones,3,fuel systems
122,gregory,walker,16,tire service
123,ronald,flores,40,fuel systems
124,amanda,mendoza,7,tire service
125,sandra,cruz,24,engine repair
126,deborah,allen,19,transmission
127,catherine,walker,19,electrical systems
128,chris,cruz,40,exhaust systems
129,maria,chavez,26,steering
130,robert,scott,5,cooling systems
131,kathleen,stewart,26,general maintenance
132,michelle,alvarez,27,general maintenance
133,richard,lee,16,tire service
134,david,rivera,26,body work
135,jack,peterson,20,oil change
136,debra,brown,3,diagnostics
137,samantha,white,40,oil change
138,samantha,moore,0,air conditioning
139,anthony,watson,19,exhaust systems
140,justin,hernandez,7,brakes
141,steven,gutierrez,8,cooling systems
142,emma,mendoza,26,steering
143,donna,edwards,30,cooling systems
144,janet,moore,16,brakes
145,frank,ramos,20,steering
146,kimberly,sanchez,5,air conditioning
147,timothy,white,25,general maintenance
148,melissa,kelly,14,engine repair
149,john,bailey,39,diagnostics
150,donald,lopez,29,electrical systems
151,paul,hughes,10,engine repair
152,edward,richardson,27,body work
153,paul,martin,5,exhaust systems
154,daniel,reed,7,engine repair
155,patrick,ortiz,27,steering
156,laura,gray,31,transmission
157,margaret,alvarez,13,electrical systems
158,dorothy,torres,31,air conditioning
159,thomas,parker,13,body work
160,mark,torres,12,air conditioning
161,matthew,evans,9,engine repair
162,joshua,king,15,body work
163,ryan,young,23,body work
164,frank,chavez,29,transmission
165,mary,stewart,8,cooling systems
166,kevin,ruiz,25,diagnostics
167,mark,alvarez,24,fuel systems
168,rebecca,patel,38,suspension
169,elizabeth,gonzalez,35,engine repair
170,michael,nelson,15,oil change
171,george,cox,38,fuel systems
172,dennis,garcia,0,suspension
173,amy,richardson,24,suspension
174,deborah,bennett,23,brakes
175,larry,garcia,37,brakes
176,paul,perez,32,oil change
177,brian,reyes,8,transmission
178,donna,price,33,air conditioning
179,charles,king,7,exhaust systems
180,jennifer,taylor,31,cooling systems
181,andrew,myers,23,general maintenance
182,jeff,torres,16,body work
183,jerry,king,33,exhaust systems
184,jeff,perez,20,fuel systems
185,kathleen,ross,9,tire service
186,katherine,brooks,28,engine repair
187,nancy,martin,3,electrical systems
188,matthew,jones,30,suspension
189,chris,price,29,air conditioning
190,joseph,murphy,2,oil change
191,george,price,35,oil change
192,laura,murphy,7,cooling systems
193,carolyn,jackson,7,exhaust systems
194,barbara,clark,18,brakes
195,daniel,myers,32,cooling systems
196,dorothy,reed,37,electrical systems
197,pamela,smith,33,steering
198,justin,white,26,general maintenance
199,elizabeth,young,31,diagnostics
200,richard,nelson,1,suspension
201,frank,mendoza,7,air conditioning
202,timothy,ramos,6,cooling systems
203,kevin,martin,1,transmission
204,laura,price,30,oil change
205,helen,wright,38,diagnostics
206,james,nelson,2,diagnostics
207,benjamin,edwards,20,fuel systems
208,jack,reed,8,electrical systems
209,michael,chavez,18,exhaust systems
210,linda,myers,4,tire service
211,brandon,carter,5,air conditioning
212,ashley,thompson,15,steering
213,edward,lopez,1,cooling systems
214,betty,lee,24,steering
215,edward,torres,9,transmission
216,emily,morales,27,fuel systems
217,kenneth,mendoza,38,brakes
218,george,bennett,6,cooling systems
219,timothy,rogers,12,oil change
220,ryan,roberts,30,suspension
221,brenda,kim,27,transmission
222,catherine,diaz,23,body work
223,matthew,parker,40,air conditioning
224,barbara,garcia,32,exhaust systems
225,jacob,gray,14,diagnostics
226,frank,alvarez,9,general maintenance
227,nicholas,ortiz,40,diagnostics
228,jonathan,hernandez,18,oil change
229,jeff,hernandez,30,suspension
230,karen,taylor,19,cooling systems
231,steven,gutierrez,27,suspension
232,brenda,miller,35,transmission
233,jennifer,rogers,6,tire service
234,rebecca,evans,6,oil change
235,katherine,castillo,36,cooling systems
236,ashley,rivera,16,body work
237,william,foster,32,engine repair
238,joseph,patel,29,brakes
239,matthew,gomez,2,transmission
240,jason,price,19,exhaust systems
241,scott,castillo,29,steering
242,gregory,edwards,39,steering
243,paul,baker,11,electrical systems
244,matthew,hernandez,38,suspension
245,christine,wilson,27,tire service
246,john,smith,25,transmission
247,mary,perez,30,oil change
248,debra,phillips,38,fuel systems
249,kathleen,hill,39,cooling systems
